мая 16, 2024 2:00:32 PM server.managers.Logger log
INFO: Подключенно: /127.0.0.1:4806
мая 16, 2024 2:00:36 PM server.managers.Logger log
INFO: Отправлено: Organization{id=14, name='ПАО Гранд', coordinates=Coordinates{x=150, y=250}, creationDate=2024-05-06, annualTurnover=1500000, employeesCount=75, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='Vologda', town=Location{x=15.2, y=25.6, z=150}}, ownerLogin='jane_smith'}
Organization{id=15, name='ЗАО СтройПрогресс', coordinates=Coordinates{x=120, y=220}, creationDate=2024-05-06, annualTurnover=800000, employeesCount=30, type=OrganizationType{ООО}, officialAddress=Address{zipCode='Moscow', town=Location{x=12.7, y=22.3, z=120}}, ownerLogin='alex_king'}
Organization{id=20, name='hjkfs', coordinates=Coordinates{x=54, y=4}, creationDate=2024-05-12, annualTurnover=5434444, employeesCount=4, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='dkfl', town=Location{x=4.0, y=4.0, z=4}}, ownerLogin='papa'}
Organization{id=21, name='oxzdckaenlkclgl', coordinates=Coordinates{x=14, y=62}, creationDate=2024-05-12, annualTurnover=883025, employeesCount=20, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='poocqskfsmhgkkf', town=Location{x=31.0, y=65.0, z=4}}, ownerLogin='papa'}
Organization{id=22, name='oxzdckaenlkclgl', coordinates=Coordinates{x=14, y=62}, creationDate=2024-05-12, annualTurnover=883025, employeesCount=20, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='poocqskfsmhgkkf', town=Location{x=31.0, y=65.0, z=4}}, ownerLogin='papa'}
Organization{id=23, name='otntgtydacaxrez', coordinates=Coordinates{x=57, y=78}, creationDate=2024-05-12, annualTurnover=851555, employeesCount=10, type=OrganizationType{ООО}, officialAddress=Address{zipCode='blctsxtvrhszhdt', town=Location{x=45.0, y=33.0, z=9}}, ownerLogin='papa'}
Organization{id=24, name='lqhiqqarklozcat', coordinates=Coordinates{x=27, y=9}, creationDate=2024-05-12, annualTurnover=106647, employeesCount=10, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='gfhgopvyoakxrtn', town=Location{x=31.0, y=87.0, z=23}}, ownerLogin='papa'}
Organization{id=25, name='jayfdnsttwheizv', coordinates=Coordinates{x=36, y=32}, creationDate=2024-05-12, annualTurnover=627070, employeesCount=20, type=OrganizationType{ООО}, officialAddress=Address{zipCode='zinzcwsdhgzqzqp', town=Location{x=36.0, y=5.0, z=38}}, ownerLogin='papa'}
Organization{id=26, name='mhqfacyxnelyuar', coordinates=Coordinates{x=84, y=38}, creationDate=2024-05-12, annualTurnover=542204, employeesCount=17, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='wwqdhoauundzjvt', town=Location{x=80.0, y=11.0, z=29}}, ownerLogin='papa'}
Organization{id=27, name='gwaqexmhskoaycb', coordinates=Coordinates{x=78, y=79}, creationDate=2024-05-12, annualTurnover=523361, employeesCount=11, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='fpehmzbzmzzxixo', town=Location{x=36.0, y=67.0, z=90}}, ownerLogin='papa'}
Organization{id=28, name='wieyuiavpudntit', coordinates=Coordinates{x=7, y=59}, creationDate=2024-05-12, annualTurnover=545638, employeesCount=19, type=OrganizationType{Публичная}, officialAddress=Address{zipCode='ubcgsxhtmdfbmlm', town=Location{x=36.0, y=91.0, z=87}}, ownerLogin='papa'}
Organization{id=29, name='eltrqaedouawyic', coordinates=Coordinates{x=9, y=75}, creationDate=2024-05-12, annualTurnover=386869, employeesCount=20, type=OrganizationType{Коммерческая}, officialAddress=Address{zipCode='subibgmmnuczkeh', town=Location{x=21.0, y=45.0, z=47}}, ownerLogin='papa'}
Organization{id=30, name='yatvklqdrpsohvm', coordinates=Coordinates{x=57, y=77}, creationDate=2024-05-12, annualTurnover=102133, employeesCount=20, type=OrganizationType{ООО}, officialAddress=Address{zipCode='hdrujbgxtsfjdyl', town=Location{x=81.0, y=90.0, z=94}}, ownerLogin='papa'}
Organization{id=31, name='zopbelhqwzrfyzl', coordinates=Coordinates{x=75, y=53}, creationDate=2024-05-12, annualTurnover=238710, employeesCount=15, type=OrganizationType{Государственная}, officialAddress=Address{zipCode='unrgybsnosuzfci', town=Location{x=47.0, y=2.0, z=34}}, ownerLogin='papa'}
